Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Gender equity and social inclusion in the water-energy-food-ecosystems (WEFE) nexus: Frameworks and tools for moving from resource-centric to people-centric WEFE nexus approaches,"Jalonen, Riina; Zaremba, Haley; Petesch, Patti; Elias, Marlène; Estrada-Carmona, Natalia; Tsvuura, Susan; Koirala, Sanju",,2022,,,,,,,,,#2553,Jalonen 2022,"",Grey Literature
The Energy-water-food Nexus: Managing Key Resources for Sustainable Development,"Siala, Fuad; Al-Soof, Namat Abu; Mazraati, Mohammad",,2017,,,,,,,,,#2556,Siala 2017,"",Grey Literature
Global Environment Outlook 6,"McMullen, Catherine",,2019,,,,,,,,,#2558,McMullen 2019,"",Grey Literature
Mitigation of climate change—IPCC,"Change, AR5 Climate",,2022,,Sixth Assessment Report,,,,,,,#2559,Change 2022,"",Grey Literature
"Climate change 2022: Impacts, adaptation and vulnerability","Parmesan, Camille; Morecroft, Mike D; Trisurat, Yongyut",,2022,,,,,,,,,#2560,Parmesan 2022,"",Grey Literature
"AR5 Climate change 2014: Impacts, adaptation and vul‐nerability","Change, Intergovernmental Panelon Climate",,2014,,,,,,,,,#2563,Change 2014,"",Grey Literature
The global assessment report on biodiversity and ecosystem services: Summary for policy makers,"Díaz, Sandra Myrna; Settele, Josef; Brondízio, Eduardo; Ngo, Hien; Guèze, Maximilien; Agard, John; Arneth, Almut; Balvanera, Patricia; Brauman, Kate; Butchart, Stuart",,2019,,,,,,,,,#2564,Díaz 2019,"",Grey Literature
The regional assessment report on biodiversity and ecosystem services for Asia and the Pacific. Summary for policymakers,"Karki, Madhav; Senaratna Sellamuttu, Sonali; Okayasu, Sana; Suzuki, Wataru; Acosta, Lilibeth A; Alhafedh, Yousef; Anticamara, Jonathan A; Ausseil, Anne-Gaëlle; Davies, Kirsten; Gasparatos, Alexandros",,2018,,,,,,,,,#2565,Karki 2018,"",Grey Literature
The regional assessment report on biodiversity and ecosystem services for Africa: summary for policymakers,"Archer, Emma; Dziba, Luthando; Mulongoy, Kalemani Jo; Maoela, Malebajoa A; Walters, Michele; Biggs, Reinette Oonsie; Salem, Marie-Christine Cormier; DeClerck, Fabrice; Diaw, Mariteuw Chimère; Dunham, Amy E",,2018,,,,,,,,,#2567,Archer 2018,"",Grey Literature
The regional assessment report on biodiversity and ecosystem services for Europe and Central Asia: Summary for policymakers,"Fischer, Markus; Rounsevell, Mark; Rando, Amor Torre-Marin; Mader, Andre; Church, Andrew; Elbakidze, Marine; Elias, Victoria; Hahn, Thomas; Harrison, Paula A; Hauck, Jennifer",,2018,,,,,,,,,#2568,Fischer 2018,"",Grey Literature
"Managing the water-energy-land-food nexus in Korea: policies and Governance Options, OECD Studies on Water",Organization for Economic Cooperation and Development,,2018,,,,,,,,,#2569,OrganizationforEconomicCooperationandDevelopment 2018,"",Grey Literature
Implementation and Governance Issues in the Water-Energy Food Nexus,"Jha, Devishi",,,,,,,,,,,#2573,,"",Grey Literature
Addressing Food Security Challenges in Lebanon: A Water-Energy-Food-Health Nexus Approach,Sasha Koo-Oshima,,2020,,,,,,,,,#2574,SashaKoo-Oshima 2020,"",Grey Literature
Addressing the Climate-SDGs Synergies and Trade-offs for the Water-Energy-Food Nexus Solutions,"",,2022,,,,,,,,,#2575,,"",Grey Literature
